business_name,address,phone,region,district,town,open_date,status
어반드왁싱,"부산광역시 부산진구 중앙대로692번길 42, 2층 (부전동)",,부산광역시,부산진구,중앙대로692번길,,active
설화피부관리실,"광주광역시 북구 우치로 60, 2층 204호 (중흥동)",,광주광역시,북구,우치로,,active
balmy바미,"부산광역시 금정구 금정로68번길 42, 5층 (장전동)",,부산광역시,금정구,금정로68번길,,active
클랍에스테틱,"대구광역시 달서구 구마로 247, 3층 (성당동)",,대구광역시,달서구,구마로,,active
반타이,"경상남도 진주시 남강로309번길 42-17, 2층 일부 (평거동)",,경상남도,진주시,남강로309번길,,active
동안비결beauty,"경기도 평택시 송탄로 165, 2층 (서정동)",,경기도,평택시,송탄로,,active
투에잇뷰티,"경기도 화성시 동탄반석로 160, 동탄 지웰 에스테이트 1층 114의 일부호 (반송동)",,경기도,화성시,동탄반석로,,active
베테랑테라피,"서울특별시 강남구 선릉로161길 15, 지상2층 (신사동)",,서울특별시,강남구,선릉로161길,,active
스위스 셀스파 익스피어리언스,"서울특별시 강남구 삼성로 551, 지상3층 (삼성동)",,서울특별시,강남구,삼성로,,active
힐링,"서울특별시 강남구 압구정로80길 35, 드림빌딩 지상5층 (청담동)",,서울특별시,강남구,압구정로80길,,active
아우라(Aura),"서울특별시 영등포구 경인로77길 49, 109동 2층 201호 (문래동4가, 리버뷰 신안인스빌)",,서울특별시,영등포구,경인로77길,,active
미(美) 스킨케어,"충청북도 청주시 청원구 율량로3번길 31, 1층 (주중동)",,충청북도,청주시,청원구,,active
힐링샵,"부산광역시 해운대구 해운대로349번길 24, 301-3 일부호 (우동, 삼호가든아파트)",,부산광역시,해운대구,해운대로349번길,,active
쁘띠,"충청북도 청주시 청원구 율량로202번길 26, 2층 (율량동)",,충청북도,청주시,청원구,,active
에스브로우,"서울특별시 서초구 효령로 89, 제지층 B01-2호 (방배동)",,서울특별시,서초구,효령로,,active
약손차이나,"경기도 군포시 군포로 743-1, 2층 (산본동)",,경기도,군포시,군포로,,active
에스와이에스테틱(SY에스테틱),"서울특별시 양천구 남부순환로58길 25, 1층 (신월동)",,서울특별시,양천구,남부순환로58길,,active
리엘스파,"서울특별시 강서구 마곡중앙로 161-8, 두산더랜드파크 B동 310,311호 (마곡동)",,서울특별시,강서구,마곡중앙로,,active
꽃길,"서울특별시 강서구 마곡중앙4로 10, 마곡그랑트윈타워 A동 3층 314호 (마곡동)",,서울특별시,강서구,마곡중앙4로,,active
더클라스뷰티브로우바(BAR),"인천광역시 부평구 부평대로 26, 4층 일부호 (부평동)",,인천광역시,부평구,부평대로,,active
베이직라인(Basic_Line),"부산광역시 부산진구 전포대로 234-1, 3층 (전포동)",,부산광역시,부산진구,전포대로,,active
